State,fips,ratePer100k
"Morgan County, Indiana(6)",18109,532.9
"Hamilton County, New York(7)",36041,532.8
"Letcher County, Kentucky(7)",21133,532.6
"Sangamon County, Illinois(6)",17167,532.5
"Hardin County, Iowa(7)",19083,532.4
"Clinch County, Georgia(7)",13065,532.3
"Cecil County, Maryland(6)",24015,531.8
"Wyoming County, New York(7)",36121,531.8
"Lawrence County, Ohio(6)",39087,531.6
"Hyde County, South Dakota(6)",46069,531.1
"Madison County, Missouri(6)",29123,531
"Tishomingo County, Mississippi(6)",28141,530.7
"White County, Illinois(6)",17193,530.5
"Galax City, Virginia(6)",51640,530.4
"Wayne County, New York(7)",36117,530.4
"Onslow County, North Carolina(6)",37133,530.3
"Shelby County, Missouri(6)",29205,530.2
"Lumpkin County, Georgia(7)",13187,530.1
"Martin County, Kentucky(7)",21159,530
"Trimble County, Kentucky(7)",21223,530
"Chemung County, New York(7)",36015,529.8
"Delta County, Texas(6)",48119,529.5
"Daviess County, Kentucky(7)",21059,529.3
"Orleans County, New York(7)",36073,529.2
"Chautauqua County, New York(7)",36013,529
"Upson County, Georgia(7)",13293,528.9
"Greensville County, Virginia(6)",51081,528.9
"Saratoga County, New York(7)",36091,528.6
"Richmond County, New York(7)",36085,528.5
"Hanson County, South Dakota(6)",46061,528.5
"Logan County, Kentucky(7)",21141,528.3
"Clay County, South Dakota(6)",46027,527.9
"Burlington County, New Jersey(7)",34005,527.8
"Terrell County, Georgia(7)",13273,527.8
"Franklin County, Mississippi(6)",28037,527.5
"Greenup County, Kentucky(7)",21089,527.5
"Carroll County, Tennessee(6)",47017,527.5
"Belknap County, New Hampshire(6)",33001,527.4
"Tucker County, West Virginia(6)",54093,527.4
"Love County, Oklahoma(6)",40085,527.2
"Washington County, Kentucky(7)",21229,526.9
"East Carroll Parish, Louisiana(7)",22035,526.6
"Cayuga County, New York(7)",36011,526.6
"Harrison County, Iowa(7)",19085,526.4
"Hopewell City, Virginia(6)",51670,526.3
"Jefferson County, Indiana(6)",18077,526.3
"Pamlico County, North Carolina(6)",37137,526.2
"Northampton County, Virginia(6)",51131,526.1
"Highland County, Virginia(6)",51091,525.8
"Henry County, Missouri(6)",29083,525.7
"Dodge County, Nebraska(6)",31053,525.7
"Grant County, Nebraska(6)",31075,525.6
"Emmet County, Iowa(7)",19063,525.6
"Thomas County, Nebraska(6)",31171,525.6
"Oldham County, Kentucky(7)",21185,525.5
"Jefferson County, Kentucky(7)",21111,525.5
"Bryan County, Georgia(7)",13029,525.4
"Green County, Kentucky(7)",21087,525.4
"St. Landry Parish, Louisiana(7)",22097,525.3
"Roscommon County, Michigan(6)",26143,525.2
"Union County, Georgia(7)",13291,524.7
"De Soto Parish, Louisiana(7)",22031,524.7
"Shelby County, Indiana(6)",18145,524.6
"Camden County, New Jersey(7)",34007,524.6
"Jasper County, Georgia(7)",13159,524.5
"Pike County, Ohio(6)",39131,524.5
"Merrick County, Nebraska(6)",31121,524.4
"Maury County, Tennessee(6)",47119,524.2
"Cabell County, West Virginia(6)",54011,524.2
"Nelson County, Kentucky(7)",21179,524
"Wirt County, West Virginia(6)",54105,524
"Duval County, Florida(6)",12031,523.8
